id,name,sex,age,type,position,affiliation,source
TH,Thomas Hitzelsperger,2,38,1,1,2,https://www.vfb.de/de/1893/club/vfb-ag/organe-der-vfb-ag/
PeV,Präsidium des VfB 1893 e. V.,NA,NA,2,NA,NA,https://www.vfb.de/de/1893/club/vfb-ag/organe-der-vfb-ag/
NZ,Nachwuchszentrum des VfB,NA,NA,2,NA,NA,https://www.vfb.de/de/1893/club/vfb-ag/organe-der-vfb-ag/
ARD,ARD Fußballexpertiese,NA,NA,2,NA,NA,https://www.vfb.de/de/1893/club/vfb-ag/organe-der-vfb-ag/
CV,Claus Vogt,2,52,1,1,1,https://www.vfb.de/de/1893/club/vfb-ag/organe-der-vfb-ag/
MVE,Mitgliederausschuss für Vereins-Entwicklung,NA,NA,2,NA,NA,https://www.vfb.de/de/1893/club/vfb-ag/organe-der-vfb-ag/
IGH,Intesia Group Holding GmbH,NA,NA,2,NA,NA,https://www.vfb.de/de/1893/club/vfb-ag/organe-der-vfb-ag/
HK,Haniel Konzer,NA,NA,2,NA,NA,https://www.vfb.de/de/1893/club/vfb-ag/organe-der-vfb-ag/
MG,Metro Group,NA,NA,2,NA,NA,https://www.vfb.de/de/1893/club/vfb-ag/organe-der-vfb-ag/
FPF,FC PlayFair!,NA,NA,2,NA,NA,https://www.vfb.de/de/1893/club/vfb-ag/organe-der-vfb-ag/
WP,Wilfried Porth,2,62,1,2,1,https://www.vfb.de/de/1893/club/vfb-ag/organe-der-vfb-ag/
DR,Daimler AG,NA,NA,2,NA,NA,https://www.vfb.de/de/1893/club/vfb-ag/organe-der-vfb-ag/
RA,Rainer Adrion,2,68,1,3,1,https://www.vfb.de/de/1893/club/vfb-ag/organe-der-vfb-ag/
DM,Diverse Manschaften des VfB,NA,NA,2,NA,NA,https://www.vfb.de/de/1893/club/vfb-ag/organe-der-vfb-ag/
HJ,Hartmut Jenner,2,56,1,2,1,https://www.vfb.de/de/1893/club/vfb-ag/organe-der-vfb-ag/
AK,Alfred Kärcher SE & Co. KG,NA,NA,2,NA,NA,https://www.vfb.de/de/1893/club/vfb-ag/organe-der-vfb-ag/
AKF,Alfred-Kärcher-Förderstiftung,NA,NA,2,NA,NA,https://www.vfb.de/de/1893/club/vfb-ag/organe-der-vfb-ag/
FR,Franz Reiner,2,54,1,3,1,https://www.vfb.de/de/1893/club/vfb-ag/organe-der-vfb-ag/
DM,Daimler Mobility AG,NA,NA,2,NA,NA,https://www.vfb.de/de/1893/club/vfb-ag/organe-der-vfb-ag/
DF,Daimler Financial Services,NA,NA,2,NA,NA,https://www.vfb.de/de/1893/club/vfb-ag/organe-der-vfb-ag/
MBFS,Mercedes-Benz Financial Services,NA,NA,2,NA,NA,https://www.vfb.de/de/1893/club/vfb-ag/organe-der-vfb-ag/
MBB,Mercedes-Benz-Bank AG,NA,NA,2,NA,NA,https://www.vfb.de/de/1893/club/vfb-ag/organe-der-vfb-ag/
BS,Dr. Bertram Sugg,2,55,1,3,1,https://www.vfb.de/de/1893/club/vfb-ag/organe-der-vfb-ag/
RB,Robert Bosch GmbH,NA,NA,2,NA,NA,https://www.vfb.de/de/1893/club/vfb-ag/organe-der-vfb-ag/
"FC,""Fanclub """"Courage"""" des VfB"",NA,NA,2,NA,NA,https://www.vfb.de/de/1893/club/vfb-ag/organe-der-vfb-ag/"
